Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",17.72,20.2,17.71,18.4,109202000.00,1808000000.00
"Feb 19, 2018",16.49,18.37,16.32,17.69,54814700.00,1682870000.00
"Feb 18, 2018",18.32,18.41,16.35,16.66,42287800.00,1869770000.00
"Feb 17, 2018",18.17,18.64,17.69,18.29,59295600.00,1853770000.00
"Feb 16, 2018",16.67,18.23,16.03,18.17,81337500.00,1701370000.00
"Feb 15, 2018",15.63,16.71,14.99,16.67,54142700.00,1594790000.00
"Feb 14, 2018",12.97,15.72,12.97,15.66,91650800.00,1323570000.00
"Feb 13, 2018",12.88,13.06,12.31,12.99,23326000.00,1314360000.00
"Feb 12, 2018",11.95,13,11.93,12.84,24588600.00,1219240000.00
"Feb 11, 2018",12.54,12.67,11.06,11.86,29981600.00,1279750000.00
"Feb 10, 2018",13.2,13.88,11.93,12.51,43385500.00,1346830000.00
"Feb 09, 2018",12.21,13.21,11.56,13.2,41973800.00,1246080000.00
"Feb 08, 2018",10.88,12.26,10.88,11.89,31563700.00,1110480000.00
"Feb 07, 2018",11.32,12.55,10.17,10.9,36639600.00,1155150000.00
"Feb 06, 2018",9.31,11.39,7.39,11.37,56968000.00,949742000.00
"Feb 05, 2018",11.92,12.68,8.75,9.27,45236500.00,1216630000.00
"Feb 04, 2018",14.09,14.16,11.72,12.06,36225800.00,1437590000.00
"Feb 03, 2018",13.35,14.3,12.2,14.05,31593400.00,1362480000.00
"Feb 02, 2018",13.97,13.97,10.54,13.25,62454300.00,1425460000.00
"Feb 01, 2018",15.85,15.95,13.25,13.99,60157800.00,1617380000.00
"Jan 31, 2018",14.9,15.85,14.16,15.74,71504300.00,1520480000.00
"Jan 30, 2018",16.89,17.86,14.67,14.92,96893300.00,1723530000.00
"Jan 29, 2018",17.15,17.35,16.04,16.91,46635600.00,1750090000.00
"Jan 28, 2018",16.06,17.29,15.77,17.09,83798900.00,1638530000.00
"Jan 27, 2018",16.6,16.77,15.79,15.98,99130000.00,1693910000.00
"Jan 26, 2018",17.93,18.58,14.93,16.58,145709000.00,1829140000.00
"Jan 25, 2018",18.05,19.12,16.67,17.96,79337500.00,1841760000.00
"Jan 24, 2018",16.05,18.5,15.48,17.85,72241700.00,1637570000.00
"Jan 23, 2018",15.66,16.62,14.3,16.05,58931400.00,1597700000.00
"Jan 22, 2018",17.14,17.96,14.22,15.66,70101200.00,1748670000.00
"Jan 21, 2018",19.74,19.74,16.41,16.97,55861100.00,2013840000.00
"Jan 20, 2018",18.63,19.95,18.63,19.71,89103800.00,1901100000.00
